epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,4337.5,0.92968,0.99316,1.29431,0.76862,0.65956,0.73547,0.51647,1.19936,1.09702,1.43331,0.00124288,0.00124288,0.00124288
103,4379.83,0.92745,0.9911,1.29517,0.772,0.66105,0.73405,0.51715,1.19513,1.09993,1.43307,0.00119883,0.00119883,0.00119883
104,4422.17,0.92118,0.9838,1.28971,0.76417,0.6721,0.73738,0.51652,1.18603,1.09921,1.4267,0.00115536,0.00115536,0.00115536
105,4464.53,0.91326,0.96921,1.28521,0.75134,0.67331,0.7356,0.51259,1.19231,1.10702,1.43003,0.00111248,0.00111248,0.00111248
106,4506.58,0.91576,0.97409,1.28677,0.75957,0.67072,0.73564,0.51538,1.19217,1.10606,1.42755,0.00107023,0.00107023,0.00107023
107,4548.65,0.90834,0.95819,1.27798,0.7493,0.68119,0.74176,0.51847,1.19403,1.0907,1.43068,0.00102862,0.00102862,0.00102862
108,4590.59,0.908,0.95712,1.2774,0.76552,0.6727,0.74272,0.51952,1.19016,1.08694,1.42758,0.000987659,0.000987659,0.000987659
109,4632.57,0.90225,0.94588,1.27455,0.763,0.67601,0.74619,0.52015,1.19192,1.0857,1.42925,0.000947376,0.000947376,0.000947376
110,4675.01,0.89716,0.95187,1.27172,0.76381,0.6759,0.74299,0.51906,1.19276,1.08863,1.42791,0.000907784,0.000907784,0.000907784
111,4717.03,0.8978,0.95327,1.27203,0.76081,0.67943,0.74332,0.52036,1.19329,1.10212,1.42946,0.000868902,0.000868902,0.000868902
112,4759.39,0.89478,0.94351,1.2691,0.74713,0.6905,0.74163,0.5185,1.19176,1.09854,1.42646,0.000830746,0.000830746,0.000830746
113,4801.73,0.89986,0.94181,1.26885,0.76363,0.67784,0.74223,0.52026,1.1891,1.09596,1.42355,0.000793333,0.000793333,0.000793333
114,4844.11,0.89834,0.93765,1.26703,0.74569,0.68632,0.74042,0.5178,1.18683,1.09157,1.4195,0.00075668,0.00075668,0.00075668
115,4886.43,0.88572,0.92936,1.26667,0.75661,0.68067,0.74182,0.51868,1.19034,1.08987,1.42227,0.000720803,0.000720803,0.000720803
116,4928.89,0.8845,0.9312,1.26174,0.76123,0.68008,0.7439,0.51956,1.18947,1.08413,1.42112,0.000685717,0.000685717,0.000685717
117,4971.04,0.87062,0.90597,1.24914,0.78544,0.66479,0.74364,0.52027,1.18923,1.08143,1.42345,0.000651437,0.000651437,0.000651437
118,5013.34,0.88171,0.91813,1.25602,0.77502,0.67597,0.74401,0.52115,1.18745,1.08283,1.42462,0.00061798,0.00061798,0.00061798
119,5055.78,0.87308,0.90645,1.25364,0.7779,0.67622,0.74277,0.52001,1.18645,1.08388,1.42496,0.000585359,0.000585359,0.000585359
120,5098.06,0.87397,0.90744,1.25198,0.76554,0.68086,0.74261,0.52179,1.18387,1.08391,1.42138,0.000553588,0.000553588,0.000553588
121,5140.49,0.87891,0.91447,1.25895,0.7772,0.67285,0.74127,0.52064,1.18334,1.08768,1.42161,0.000522683,0.000522683,0.000522683
122,5182.96,0.87268,0.90375,1.25112,0.77682,0.6725,0.73932,0.52059,1.18332,1.08722,1.42355,0.000492656,0.000492656,0.000492656
123,5225.25,0.87449,0.90481,1.24948,0.76997,0.6777,0.73982,0.5202,1.1828,1.08795,1.42346,0.00046352,0.00046352,0.00046352
124,5267.46,0.86601,0.8909,1.24776,0.78673,0.665,0.74043,0.52059,1.18266,1.08476,1.42153,0.000435288,0.000435288,0.000435288
125,5309.69,0.86505,0.89533,1.24454,0.77517,0.67425,0.74126,0.5224,1.18066,1.08147,1.42026,0.000407973,0.000407973,0.000407973
126,5352.12,0.86371,0.89633,1.24521,0.77173,0.6701,0.74304,0.52474,1.17982,1.07795,1.41917,0.000381587,0.000381587,0.000381587
